,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
447748,2019-07-18 09:32:30,4769426683924058915,fraud_Koss and Sons,gas_transport,40.95,Andrea,Cruz,F,26572 Hodge Villages Suite 512,Mifflin,PA,17058,40.5553,-77.4001,1909,Mining engineer,1954-08-22,dcfda7a691c91e73db6733de49349021,1342603950.0,40.069156,-76.544054,0.0
34633,2019-01-21 12:38:22,3558881852140592,"fraud_Parker, Nolan and Trantow",entertainment,33.25,Christopher,Holt,M,05597 Michael Spurs,Parks,AZ,86018,35.2563,-111.95,759,"Geologist, engineering",1957-03-28,e0fea87b9e96a7a3a967938509ba789f,1327149502.0,35.138684000000005,-110.956705,0.0
305498,2019-05-28 02:24:18,213148039875802,"fraud_Ferry, Lynch and Kautzer",misc_net,4.15,Jill,Jacobs,F,034 Kimberly Mountains,Brandon,FL,33510,27.9551,-82.2966,79613,Environmental consultant,1978-11-30,08ef7c5b8833d44d4dd787366979cd69,1338171858.0,27.308293,-82.419155,0.0
186697,2019-04-07 06:32:55,4500002361389,fraud_Pacocha-Bauch,shopping_pos,7.45,Joseph,Nixon,M,86882 Desiree Camp Suite 047,Tyaskin,MD,21865,38.2833,-75.8465,470,Music tutor,1965-04-07,d81a24a7b2227833cede46d6a295608e,1333780375.0,38.748863,-75.668587,0.0
123558,2019-03-10 07:20:32,344342339068828,"fraud_Effertz, Welch and Schowalter",entertainment,286.26,Ruth,Fuller,F,37732 Joe Courts Apt. 752,Darien,GA,31305,31.3826,-81.4312,5989,Tax adviser,1967-05-05,6d9c2fb359c26ab7bba64d4a71bf9073,1331364032.0,30.965021000000004,-82.32811600000001,0.0
352839,2019-06-14 19:46:53,372382441451095,fraud_Hackett Group,travel,7.93,Brent,Terrell,M,502 Rice Plaza Apt. 979,Port Ewen,NY,12466,41.8948,-73.9767,2471,Heritage manager,1966-01-21,7df4a244051a53a936217c87d7d838e8,1339703213.0,41.297376,-73.982842,0.0
425136,2019-07-09 20:33:38,567868110212,fraud_Turner and Sons,shopping_pos,579.85,Dawn,Tucker,F,789 Herring Manors,Houston,TX,77007,29.7736,-95.4034,2906700,"Copywriter, advertising",1984-12-16,b280f9946297675bdd41223c6552d38d,1341866018.0,30.453406,-95.628472,0.0
322247,2019-06-03 07:34:42,180094419304907,"fraud_Osinski, Ledner and Leuschke",grocery_pos,180.89,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,bbdd6ab4e749ed511087f9b9c21bcac7,1338708882.0,34.729036,-118.147309,0.0
420276,2019-07-08 04:11:03,630469040731,fraud_Rau and Sons,grocery_pos,118.39,Meredith,Ayala,F,7107 Henderson Station,Cascade Locks,OR,97014,45.67100000000001,-121.8686,1288,Barrister,1936-05-01,682b7883368c4adc2764de5ef2f458ce,1341720663.0,46.443455,-122.72006,0.0
309830,2019-05-30 08:04:38,2318062975163331,fraud_Kunze Inc,grocery_pos,55.12,William,Martinez,M,0207 Griffith Plains Apt. 544,Louisiana,MO,63353,39.4336,-91.0664,4593,"Teacher, early years/pre",1940-11-11,3787bde486f82af9840c57580c6e5bf9,1338365078.0,38.615084,-91.407354,0.0
52606,2019-02-01 01:38:53,375534208663984,"fraud_Towne, Walker and Borer",grocery_net,51.58,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,1986-03-28,893afc5360d67c8442eae3f39ddaefbb,1328060333.0,38.541821,-79.427734,0.0
308120,2019-05-29 13:20:41,38947654498698,fraud_Daugherty-Thompson,food_dining,6.55,Lori,Rodriguez,F,12087 Michael Light,Creola,OH,45622,39.3543,-82.50299999999999,321,"Copywriter, advertising",1979-06-24,1495b254323ed9275d7030317f95c58b,1338297641.0,38.645653,-83.120227,0.0
47882,2019-01-29 00:08:12,4671727014157745,fraud_Koepp-Parker,grocery_pos,124.28,Kenneth,Edwards,M,3653 Ryan Crossroad,Andrews,IN,46702,40.8618,-85.6067,2304,Retail banker,1955-07-25,e46a5592ce9142b71f8fc92fff23db7e,1327795692.0,41.203222,-85.806588,0.0
78247,2019-02-16 03:53:57,30118423745458,fraud_Heller-Langosh,gas_transport,66.8,Jared,Velazquez,M,01479 Murray Circle,Matawan,NJ,7747,40.4109,-74.238,30770,Drilling engineer,1993-04-29,57f7d9038ee106380648b8bb1fe4bfdc,1329364437.0,40.186642,-73.88071,0.0
278824,2019-05-18 06:09:28,4956828990005111019,fraud_Schmitt Inc,gas_transport,66.62,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,1980-12-21,c427c06c33545a79c40d4294f05cbcd6,1337321368.0,40.565437,-73.296316,0.0
268841,2019-05-13 04:23:12,60422928733,fraud_Gibson-Deckow,entertainment,23.48,Jeffrey,Powers,M,38352 Parrish Road Apt. 652,North Augusta,SC,29860,33.6028,-81.9748,46944,Secondary school teacher,1942-04-02,8de80222c695acdd0d97cad201a70e65,1336882992.0,32.741331,-82.966303,0.0
230962,2019-04-27 00:53:27,6011724471098086,fraud_Harber Inc,gas_transport,73.1,Ann,Lawson,F,144 Evans Islands Apt. 683,Burbank,WA,99323,46.1966,-118.9017,3684,Musician,1981-11-29,4df4e996fa33dfc12f281ae45c0973b6,1335488007.0,47.109276,-118.621961,0.0
52176,2019-01-31 18:38:57,3598304579370089,fraud_Nader-Maggio,personal_care,40.01,Vincent,Flowers,M,0189 Emily Prairie,Wichita,KS,67232,37.6395,-97.1714,409656,Heritage manager,1985-12-27,023c91dee0169aaedd52eb3f41e4c5b3,1328035137.0,38.128265,-97.49573,0.0
63080,2019-02-06 18:18:33,630425673344,fraud_Collier LLC,home,70.92,Bryan,Miller,M,411 Laurie Fords,Cass,WV,24927,38.388000000000005,-79.9906,365,Special effects artist,1970-03-14,3efb89a131834066c279f089698c0f58,1328552313.0,37.710043,-80.569294,0.0
37757,2019-01-22 19:06:53,376012912828093,fraud_Monahan-Morar,personal_care,41.17,Nathan,Mayer,M,478 Donovan Corners Apt. 803,Schaumburg,IL,60193,42.0144,-88.0935,92294,Claims inspector/assessor,1969-05-01,0a8f90fd0a280cab75f9da47fa1f1cef,1327259213.0,41.576832,-88.389788,0.0
9243,2019-01-06 19:45:18,639023984367,fraud_Douglas-White,entertainment,15.82,Destiny,Lowe,F,79472 Stevens Trace Apt. 120,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991-06-05,06c1ed1f6a12eb3f9544f062b026002c,1325879118.0,44.612962,-75.119,0.0
255612,2019-05-07 02:05:10,30030380240193,fraud_Jast-McDermott,shopping_pos,141.69,William,Jenkins,M,50614 Kevin Point,Harper,TX,78631,30.2816,-99.241,2395,"Pharmacist, community",1993-11-17,a506e4f93aa6fc3b7fa84636f34facbe,1336356310.0,30.896945,-98.79078,0.0
213040,2019-04-19 00:22:14,6528911529051375,fraud_Keeling-Crist,misc_pos,1.72,Diane,Smith,F,195 Murray Overpass Apt. 384,Winter,WI,54896,45.8327,-91.0144,1478,Neurosurgeon,1965-04-27,1e8ecf2f90cc24494bc4c4dc89a0672e,1334794934.0,45.743506,-90.658429,0.0
482158,2019-07-29 21:59:59,4302480582202074,fraud_Gaylord-Powlowski,home,73.42,David,Rodriguez,M,821 Solis Points,Muskegon,MI,49440,43.2326,-86.2492,128715,Historic buildings inspector/conservation officer,1995-05-25,d8647c5506fa745a45f4012b28689b16,1343599199.0,43.545463,-86.746342,0.0
160253,2019-03-25 22:03:27,5301645381939419,fraud_Bahringer Group,health_fitness,18.08,Joe,Allen,M,368 Rollins Fort Apt. 076,Aurora,CO,80019,39.7656,-104.7069,389246,Industrial/product designer,1938-08-07,e25e8c0466b39a44b9006682d12eea01,1332713007.0,40.529993,-104.137096,1.0
6884,2019-01-05 13:29:15,3533012926413100,"fraud_Hoppe, Harris and Bednar",entertainment,41.85,Megan,Bernard,F,128 Nathan Ramp,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,1994-03-01,dda7024ce6406d9292de2943be929e9b,1325770155.0,42.817418,-75.760438,0.0
224471,2019-04-23 09:56:41,4476840372112,fraud_Kiehn Inc,grocery_pos,130.08,Steven,Walters,M,3206 Hall Divide Suite 282,Woodville,AL,35776,34.6689,-86.2296,3395,"Editor, commissioning",1979-01-21,f857e162ff516b988a62f15bf776d715,1335175001.0,33.823397,-86.96834100000001,0.0
107717,2019-03-03 08:28:30,4715741951931168360,fraud_Barrows PLC,shopping_pos,8.12,Robert,Drake,M,463 Willie Estates,Burbank,OK,74633,36.6966,-96.7869,471,Sub,1941-03-30,f809fa2a316c7bcb21c48226eee1da81,1330763310.0,36.07542,-97.149375,0.0
22213,2019-01-14 06:19:12,3517527805128735,fraud_Marks Inc,gas_transport,58.05,Tracy,Conway,F,6778 Campos Field,Bonfield,IL,60913,41.1573,-88.0619,1617,Medical secretary,1990-04-25,53cf248e38e89831555e0e6a7ce4bcb4,1326521952.0,41.340385,-88.659936,0.0
333468,2019-06-07 22:07:50,342952484382519,fraud_Jakubowski Group,food_dining,4.11,Kayla,Jones,F,6033 Young Track Suite 804,East Canaan,CT,6024,42.0158,-73.2913,647,Comptroller,1987-09-26,d6103937e6707b1d1a399f6956d6ca13,1339106870.0,42.823236,-72.558802,0.0
183999,2019-04-06 07:56:21,676148621961,fraud_Hermann and Sons,shopping_pos,5.65,Jennifer,Vega,F,91644 Crystal Drives,Eagarville,IL,62023,39.1118,-89.7855,91,Materials engineer,1962-11-18,60c77bb547e3dd197f7fa91a47724a45,1333698981.0,39.026858,-90.701154,0.0
83444,2019-02-18 20:11:08,630423337322,fraud_Fritsch and Sons,health_fitness,10.3,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,1978-06-21,fd8b1c922a59d6d1d443e1c89dec15c6,1329595868.0,48.043241,-118.328691,0.0
386993,2019-06-26 13:49:20,3556613125071656,"fraud_Bernier, Volkman and Hoeger",misc_net,9.96,Jose,Vasquez,M,572 Davis Mountains,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,1999-12-27,5bcf600e1a285f8f277c0e3d5caf4686,1340718560.0,28.698962,-96.290756,0.0
160799,2019-03-26 04:41:57,377234009633447,"fraud_Kerluke, Considine and Macejkovic",misc_net,15.07,Theresa,Blackwell,F,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,1966-02-14,fd56f12b954f68b74b4087e828103bff,1332736917.0,38.627344,-77.373333,0.0
480030,2019-07-29 09:56:26,4839615922685395,fraud_McGlynn-Heathcote,misc_net,38.02,Phillip,Robertson,M,85344 Smith Gateway Apt. 280,Harrodsburg,IN,47434,39.013000000000005,-86.5457,76,Social researcher,1955-05-06,4351d8c33fd18bd3480148108ba9f284,1343555786.0,39.602901,-87.184412,0.0
483980,2019-07-30 18:44:48,6547670341037171,"fraud_Conroy, Balistreri and Gorczany",health_fitness,5.33,Bryce,Joseph,M,148 Baker Field,Chester Heights,PA,19017,39.8839,-75.4669,348,Management consultant,1945-05-05,67292da0c5c8723a50d06cd89cb0a207,1343673888.0,39.406743,-74.774345,0.0
166087,2019-03-29 08:58:34,38052002992326,fraud_Roob LLC,grocery_net,5.82,Anna,Logan,F,3522 Park Wells Suite 528,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,1995-09-11,16db7c533040bad6408fd527d87b1159,1333011514.0,30.046202,-94.266451,0.0
416529,2019-07-07 05:50:31,3534093764340240,"fraud_Christiansen, Goyette and Schamberger",gas_transport,74.21,Jeremy,White,M,9443 Cynthia Court Apt. 038,Boulder,MT,59632,46.2306,-112.1138,1939,Patent attorney,1967-01-12,b1f56029fb1121dd1cba8360cae7cd16,1341640231.0,47.214175,-112.14185,0.0
357436,2019-06-16 05:17:18,4783226709001,"fraud_Altenwerth, Cartwright and Koss",shopping_net,5.97,Jessica,Garcia,F,13108 Jennifer Passage,Mc Cracken,KS,67556,38.5957,-99.554,320,Film/video editor,1961-04-22,526f1cbaa11f6584677a0e319f0560bd,1339823838.0,38.002814,-99.075978,0.0
502102,2019-08-05 21:14:14,503874407318,"fraud_Schaefer, Fay and Hilll",entertainment,2.7,Andrew,Mcgee,M,4130 Tiffany Glen Apt. 562,San Antonio,TX,78248,29.5894,-98.5201,1595797,Exhibition designer,1975-12-28,4aeec73c661b97602f78fb2fdf762c49,1344201254.0,28.883547,-97.787376,0.0
332710,2019-06-07 15:22:23,30428204673351,fraud_Goldner-Lemke,entertainment,65.4,Greg,Villarreal,M,2851 Foster Shoals,Schaefferstown,PA,17088,40.3087,-76.2963,823,Gaffer,1982-07-02,a8071cf11d7c841ea889896acb9f02fc,1339082543.0,39.635658,-75.991112,0.0
426238,2019-07-10 11:14:54,180031190491743,fraud_Cartwright-Harris,grocery_pos,191.15,Becky,Mckinney,F,250 Benjamin Hill Apt. 026,Mobile,AL,36617,30.7145,-88.0918,270712,"Surveyor, land/geomatics",1972-01-05,0e362bbad7f4933151006f95667d77ca,1341918894.0,30.967284000000003,-87.497496,0.0
12968,2019-01-08 11:31:09,6011652924285713,fraud_Bogisich Inc,grocery_pos,103.86,Kathryn,Smith,F,19838 Tonya Prairie Apt. 947,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,1988-10-26,076b6ebeab66904b52757ebf93833c78,1326022269.0,38.636201,-92.650748,0.0
454359,2019-07-20 20:13:30,630484879808,fraud_Nolan-Williamson,kids_pets,42.31,Ian,Patton,M,8088 Sherman Radial Suite 689,Helm,CA,93627,36.4992,-120.0936,123,Early years teacher,1973-02-07,3451aa87e60ef5593ee7fac5342a349f,1342815210.0,36.928064,-120.30961,0.0
472778,2019-07-27 12:26:17,4561546772499,"fraud_Terry, Johns and Bins",misc_pos,75.13,Daniel,Briggs,M,7118 Jessica Unions Apt. 789,Moriarty,NM,87035,34.9889,-106.0609,7268,"Therapist, art",1988-08-04,bd4248f2304d0083e9b37191673eddec,1343391977.0,35.926520000000004,-105.321459,0.0
119402,2019-03-08 17:08:36,213173753804333,"fraud_Hagenes, Hermann and Stroman",travel,1.81,Joseph,Wagner,M,822 Austin Spur,North Judson,IN,46366,41.2244,-86.6966,5791,"Doctor, general practice",1959-10-07,73512154b84bad33877342fdd4d73305,1331226516.0,40.397432,-86.687956,0.0
386437,2019-06-26 06:14:17,3573030041201292,fraud_Friesen-D'Amore,gas_transport,54.23,Joanne,Williams,F,3638 Marsh Union,Altonah,UT,84002,40.3207,-110.436,302,"Sales professional, IT",1990-01-17,1a21a9dfefe6179e328ac976539ba6d1,1340691257.0,39.795718,-109.877451,0.0
174324,2019-04-01 09:30:44,4099707841315751,fraud_Roob LLC,grocery_net,54.25,James,Stephens,M,1166 Castillo Mountains,Ruckersville,VA,22968,38.2586,-78.4074,9815,"Designer, ceramics/pottery",1975-07-07,83c03432b4650cb1b57362124b0fc5fc,1333272644.0,37.471209,-78.92724100000001,0.0
138348,2019-03-16 22:45:23,4266200684857219,fraud_Rolfson-Kunde,personal_care,318.74,Joshua,Bryant,M,5452 Patricia Inlet Apt. 280,Nelson,NE,68961,40.201,-98.0684,732,Television/film/video producer,1956-12-13,6d02f69d44ac853a0471523221f5e443,1331937923.0,40.424123,-97.483154,0.0
32119,2019-01-20 07:03:10,6592074504369261,fraud_Harber Inc,gas_transport,63.12,Amanda,Molina,F,8425 Daniel Knolls Suite 288,Philadelphia,PA,19154,40.0897,-74.9781,1526206,Commercial horticulturist,1972-05-23,a9bc1deb2a35121c0b9ff330c624ae0f,1327042990.0,40.428236,-74.56454699999999,0.0
143534,2019-03-18 16:25:56,4570636521433188,"fraud_Roob, Conn and Tremblay",shopping_pos,311.2,Christine,Leblanc,F,5097 Jodi Vista Suite 811,Deltona,FL,32725,28.8989,-81.2473,88735,Commercial horticulturist,1988-04-09,5cb84e9bd0782474992243311fbd866b,1332087956.0,29.828929,-81.764675,0.0
283479,2019-05-19 21:01:24,6011542681743618,"fraud_Willms, Kris and Bergnaum",shopping_pos,3.62,Emily,Hall,F,8851 Reese Neck,Basye,VA,22810,38.8089,-78.7776,863,"Engineer, mining",1972-08-09,5bcb5d5ec9b8d0e40b7b9df6aefe4d9b,1337461284.0,38.590032,-79.071444,0.0
